;track;artist;genre;time;date.entered;date.peaked;Week;Ranking;New_time;timedelta;entered_to_datetime;peaked_to_datetime
0;Independent Women Part I;Destiny's Child;Rock;3:38;2000-09-23;2000-11-18;1;78;0:3:38;0 days 00:03:38.000000000;2000-09-23;2000-11-18
1;Maria, Maria;Santana;Rock;4:18;2000-02-12;2000-04-08;1;15;0:4:18;0 days 00:04:18.000000000;2000-02-12;2000-04-08
2;I Knew I Loved You;Savage Garden;Rock;4:07;1999-10-23;2000-01-29;1;71;0:4:07;0 days 00:04:07.000000000;1999-10-23;2000-01-29
3;Music;Madonna;Rock;3:45;2000-08-12;2000-09-16;1;41;0:3:45;0 days 00:03:45.000000000;2000-08-12;2000-09-16
4;Come On Over Baby (All I Want Is You);Aguilera, Christina;Rock;3:38;2000-08-05;2000-10-14;1;57;0:3:38;0 days 00:03:38.000000000;2000-08-05;2000-10-14
5;Doesn't Really Matter;Janet;Rock;4:17;2000-06-17;2000-08-26;1;59;0:4:17;0 days 00:04:17.000000000;2000-06-17;2000-08-26
6;Say My Name;Destiny's Child;Rock;4:31;1999-12-25;2000-03-18;1;83;0:4:31;0 days 00:04:31.000000000;1999-12-25;2000-03-18
7;Be With You;Iglesias, Enrique;Latin;3:36;2000-04-01;2000-06-24;1;63;0:3:36;0 days 00:03:36.000000000;2000-04-01;2000-06-24
8;Incomplete;Sisqo;Rock;3:52;2000-06-24;2000-08-12;1;77;0:3:52;0 days 00:03:52.000000000;2000-06-24;2000-08-12
9;Amazed;Lonestar;Country;4:25;1999-06-05;2000-03-04;1;81;0:4:25;0 days 00:04:25.000000000;1999-06-05;2000-03-04
10;It's Gonna Be Me;N'Sync;Rock;3:10;2000-05-06;2000-07-29;1;82;0:3:10;0 days 00:03:10.000000000;2000-05-06;2000-07-29
11;What A Girl Wants;Aguilera, Christina;Rock;3:18;1999-11-27;2000-01-15;1;71;0:3:18;0 days 00:03:18.000000000;1999-11-27;2000-01-15
12;Everything You Want;Vertical Horizon;Rock;4:01;2000-01-22;2000-07-15;1;70;0:4:01;0 days 00:04:01.000000000;2000-01-22;2000-07-15
13;With Arms Wide Open;Creed;Rock;3:52;2000-05-13;2000-11-11;1;84;0:3:52;0 days 00:03:52.000000000;2000-05-13;2000-11-11
14;Try Again;Aaliyah;Rock;4:03;2000-03-18;2000-06-17;1;59;0:4:03;0 days 00:04:03.000000000;2000-03-18;2000-06-17
15;Bent;matchbox twenty;Rock;4:12;2000-04-29;2000-07-22;1;60;0:4:12;0 days 00:04:12.000000000;2000-04-29;2000-07-22
16;Thank God I Found You;Carey, Mariah;Rock;4:14;1999-12-11;2000-02-19;1;82;0:4:14;0 days 00:04:14.000000000;1999-12-11;2000-02-19
17;Breathe;Hill, Faith;Rap;4:04;1999-11-06;2000-04-22;1;81;0:4:04;0 days 00:04:04.000000000;1999-11-06;2000-04-22
18;Case Of The Ex (Whatcha Gonna Do);Mya;Rock;3:50;2000-08-19;2000-12-02;1;72;0:3:50;0 days 00:03:50.000000000;2000-08-19;2000-12-02
19;He Loves U Not;Dream;Rock;3:43;2000-09-30;2000-12-30;1;99;0:3:43;0 days 00:03:43.000000000;2000-09-30;2000-12-30
20;He Wasn't Man Enough;Braxton, Toni;Rock;4:21;2000-03-18;2000-05-06;1;63;0:4:21;0 days 00:04:21.000000000;2000-03-18;2000-05-06
21;You Sang To Me;Anthony, Marc;Latin;3:50;2000-02-26;2000-06-03;1;77;0:3:50;0 days 00:03:50.000000000;2000-02-26;2000-06-03
22;Give Me Just One Night (Una Noche);98¡;Rock;3:24;2000-08-19;2000-09-30;1;51;0:3:24;0 days 00:03:24.000000000;2000-08-19;2000-09-30
23;Jumpin' Jumpin';Destiny's Child;Rock;3:48;2000-05-13;2000-08-19;1;74;0:3:48;0 days 00:03:48.000000000;2000-05-13;2000-08-19
24;Kryptonite;3 Doors Down;Rock;3:53;2000-04-08;2000-11-11;1;81;0:3:53;0 days 00:03:53.000000000;2000-04-08;2000-11-11
