;rating;title;year;director0;runtime;genres0;genres1;actor0;actor1;actor2;actor3;tagline;outline;genres2;genres3;director1;genres4;genres5
1;5.1;The Ape Girl;1979.0;Chi-Hwa Chen;;Action;Drama;Fung-Ling Chin;Sing Chen;Lieh Lo;Shu Lin Chang;;A girl raised by apes falls for a prince who is secretly using her kungfu for his personal gain.;;;;;
6;7.4;Kawachi Karumen;1966.0;Seijun Suzuki;5340.0;Comedy;;Yumiko Nogawa;K\xf4ji Wada;Tamio Kawaji;Chikako Miyagi;;Like a girl runaway, Tsuyu moves to Osaka to work as a bar hostess. She meets the owner of a model school...;;;;;
12;6.0;Scotland Yard;1930.0;William K. Howard;4500.0;Crime;Drama;Edmund Lowe;Joan Bennett;Donald Crisp;Georges Renavent;;During World War I, criminal Dakin Barrolles, fleeing a bank robbery gone awry, has a chance meeting with a rich...;Romance;;;;
13;6.9;Himitsu;1999.0;Y\xf4jir\xf4 Takita;7140.0;Drama;Fantasy;Ry\xf4ko Hirosue;Kaoru Kobayashi;Ken Kaneko;Yuriko Ishida;;A man is shocked to find out that after a deadly car accident involving his wife and daughter, his wife died, but her mind somehow got transfered into their daughter's body.;;;;;
15;6.1;Lok Parlok;1979.0;Rama Rao Tatineni;;Action;Comedy;Agha;Aparna;Vijaya Bhanu;Manju Bhargavi;;Amar lives a poor lifestyle along with his widowed mom in a village, and has a sweetheart in Savitri...;Drama;Fantasy;;;
18;4.0;Ishq Nachavye Gali Gali;1996.0;Balwant Dullat;8100.0;Action;Crime;Randeep Arya;Neeru Bajwa;Kanwal Bedi;Mrs. Daman;;Shankar and Ranno are in love with each other and want to get married. But her father arranges her marriage with U.S.-based Kulwant...;Drama;Romance;;;
20;6.2;In the Weeds;2000.0;Michael Rauch;5460.0;Comedy;Romance;Joshua Leonard;Molly Ringwald;Ellen Pompeo;Michael B. Silver;;A bistro's wait staff flirts and argues while managing concerns about their lives.;;;;;
21;7.4;A Time to Heal;1994.0;Michael Toshiyuki Uno;5400.0;Drama;;Nicollette Sheridan;Gary Cole;Mara Wilson;Annie Corley;;A paralyzed mother recovers from a stroke during childbirth with care from her husband.;;;;;
23;5.3;Martin;1981.0;Leidulv Risan;4560.0;Drama;;Bj\xf8rn Skagestad;Unni Evjen;Nina Hart;Jon Eikemo;;En liten fredelig by i Norge. Men under overflaten skjuler det seg helt andre krefter enn fred og fordragelighet...;;;;;
31;7.5;Evangeline;1914.0;William Cavanaugh;3000.0;Drama;;Laura Lyman;John T. Carleton;Edward P. Sullivan;Arthur Morrison;;In the Canadian province of Acadia, young Evangeline is betrothed to Gabriel. But before their wedding can take place...;;;Edward P. Sullivan;;
34;6.9;Bandish;1980.0;K. Bapaiah;;Action;Crime;Rajesh Khanna;Hema Malini;Danny Denzongpa;Tanuja;;Kishan (Rajesh Khanna), the rich and spoiled son, studying medicine in college, of a wealthy man (Om...;Drama;Romance;;;
36;6.5;Second Skin;1999.0;Gerardo Vera;6000.0;Drama;Romance;Javier Bardem;Jordi Moll\xe0;Ariadna Gil;Cecilia Roth;Un triangulo diferente;Al enamorarnos, apostamos. Y es un juego demasiado íntimo para asimilar con facilidad el fracaso. Elena...;;;;;
50;4.9;The Man from Hell;1934.0;Lewis D. Collins;3600.0;Action;Adventure;Reb Russell;Rebel;Fred Kohler;Ann Darcy;Reb RUSSELL (former ALL-AMERICAN FOOTBALL STAR) (original poster);A cowboy recently released from prison is determined to go straight, but he winds up in a tough western town where he finds trouble everywhere.;Romance;Western;;;
52;6.6;Gideon of Scotland Yard;1958.0;John Ford;5460.0;Comedy;Crime;Jack Hawkins;Anna Lee;Anna Massey;Andrew Ray;24 Tension-Taut Hours in the Life of a Top Crime Fighter!;A typical day for Scotland Yard Inspector George Gideon consists in working on several cases at the same time.;Drama;Thriller;;;
53;;Madame Spy;1934.0;Karl Freund;4200.0;Adventure;Drama;Oscar Apfel;Edward Arnold;Nils Asther;Vince Barnett;The dazzling career of an adventuress. (Poster).;Maria is married to Captain Franck of German Intelligence. He does not know she is a Russian assigned to spy on him. When he is told to uncover a leak, he vows revenge on his wife.;Romance;Thriller;;War;
54;;Unseen Enemies;1925.0;J.P. McGowan;3240.0;Action;Adventure;Al Hoxie;Claire Anderson;Catherine Craig;Bob Kortman;;"A valuable ranch lands in the hands of ""Bingo"" Strook when ""Dad"" Davenport dies and leaves two young boys...";Romance;Western;;;
57;4.6;Cindy and Donna;1970.0;Robert Anderson;4740.0;Drama;;Debbie Osborne;Nancy Ison;Cheryl Powell;Max Manning;A story of two sisters. Cindy... so anxious to grow up. Donna... who grew up too fast!;Cindy, a sweet-young-thing being raised in the suburbs with her half-sister Donna, is shyly undergoing a sexual awakening...;;;;;
61;6.0;Cuatro caras para Victoria;1992.0;Oscar Barney Finn;5640.0;Drama;;Carola Reyna;Nacha Guevara;Julia von Grolman;China Zorrilla;;Victoria Ocampo, the Argentine author, critic, and publisher of Sur magazine, is described as having...;;;;;
62;6.3;The Plot Thickens;1936.0;Ben Holmes;4140.0;Comedy;Drama;James Gleason;Zasu Pitts;Owen Davis Jr.;Louise Latimer;;A priceless Cellini silver cup is stolen from a local museum with both Hildegarde and Oscar on the case.;Mystery;;;;
63;3.9;All Monsters Attack;1969.0;Ishir\xf4 Honda;4200.0;Action;Adventure;Kenji Sahara;Machiko Naka;Tomonori Yazaki;Hideyo Amamoto;See: Prehistoric Monsters Crawl Out of the Hidden Dephs of the Earth and Take Revenge Against the Living!;A bullied schoolboy dreams of traveling to Monster Island, where he befriends Godzilla's son, who is also having bully troubles.;Family;Sci-Fi;;;
65;5.2;Invasion of the Love Drones;1977.0;Jerome Hamlin;4260.0;Adult;Comedy;Eric Edwards;Joann Sterling;Arlana Blue;Lorraine Alraune;;Horny aliens invade Earth.;Sci-Fi;;;;
69;;La inmaculada;1939.0;Louis J. Gasnier;;Drama;;Fortunio Bonanova;Andrea Palma;Milisa Sierra;Jes\xfas Topete;;Consuelo, a pretty but poor country girl, moves to Mexico City in search of a job. She gets one in a...;;;;;
71;5.3;Adrien;1943.0;Fernandel;4800.0;Comedy;;Fernandel;Paulette Dubost;Huguette Vivier;Dorette Ardenne;;Adrien Moulinet, a modest encashing agent in the Nortier bank, is also an inventor in his spare time...;;;;;
74;5.5;Western Cyclone;1943.0;Sam Newfield;2340.0;Action;Adventure;Buster Crabbe;Al St. John;Marjorie Manners;Karl Hackett;DEATH RIDES IN HIS WAKE...Billy's At His Best When Gunsmoke Clouds The Range!;Randall is trying to get the Governor impeached so he can take over control of the state. Knowing the Governor and Billy are good friends...;Western;;;;
75;6.6;Qing long ke zhan;1977.0;Min-Hsiung Wu;5580.0;Action;Drama;Lieh Lo;Hua Yueh;Lingfeng Shangguan;Shu Lin Chang;;When an evil land baron's son murders an innocent family, a Marshall is called in to escort him to be executed in the court of law far to the north...;;;;;
93;4.4;Metamorphosis: The Alien Factor;1990.0;Glenn Takakjian;5880.0;Horror;Sci-Fi;Matt Kulis;Patrick Barnes;Tara Leigh;Dianna Flaherty;It came from another world...;A virus from outer space transforms a bio-researcher into a blood thirsty monster. But chief, Dr.Vialini...;;;;;
96;6.5;La loba;1965.0;Rafael Baled\xf3n;4680.0;Horror;Mystery;Kitty de Hoyos;Joaqu\xedn Cordero;Columba Dom\xednguez;Jos\xe9 El\xedas Moreno;;Professor Fernandez is studying the metamorphosis in living organisms to cure his daughter of a strange disease that occurs in full moon nights.;Thriller;;;;
101;;Il suo più grande amore;1956.0;Antonio Leonviola;4920.0;;;;;;;;;;;;;
106;;No Man's Woman;1921.0;Wayne Mack;;Western;;Helen Gibson;Edward Coxen;Leo D. Maloney;Aggie Herring;;On his return from an adventure in the gold fields, a young Westerner returns to his home only to learn...;;;Leo D. Maloney;;
115;8.0;Za dvumya zaytsami;1961.0;Viktor Ivanov;4620.0;Comedy;Musical;Oleg Borisov;Margarita Krinitsyna;Nikolay Yakovchenko;A. Kushnirenko;;Madcap comedy set in early 20th century Kiev about a barber whose fondness for drink, gambling, and women lead to bankruptcy. He marries an ugly rich woman to solve his financial woes, but pines for a virtuous beauty who despises him.;;;;;
117;6.4;Saluti e baci;1953.0;Maurice Labro;5520.0;Musical;;Georges Gu\xe9tary;Luis Mariano;Nilla Pizzi;Line Renaud;;"Carlo Mastelli, the young radio presenter of ""New Voices"" has run short of ideas and his program is...";;;Giorgio Simonelli;;
118;7.0;Two Gun Sheriff;1941.0;George Sherman;3360.0;Action;Adventure;Red;Lynn Merrick;Jay Novello;Lupita Tovar;Double daring! Double action! with your favorite action ace in a double role!;As the Sundown Kid is being brought in for murder, Albo's men attack the stage and free him. Albo wants him due to his resemblance to the Sheriff...;Romance;Western;;;
119;5.8;Born to Fight;1936.0;Charles Hutchison;3900.0;Drama;Romance;Frankie Darro;Kane Richmond;Jack La Rue;Frances Grant;COURAGE AGAINST COWARDICE!;An honest boxer refuses to throw a fight for a gambler. They get into a fight and the boxer knocks the gambler out...;;;;;
122;4.8;Does This Mean We're Married?;1991.0;Carol Wiseman;5640.0;Comedy;;Patsy Kensit;St\xe9phane Freiss;Mouss Diouf;Anne-Marie Pisani;He wants her money. She wants a green card.;It's a green-card marriage romance. Deena, an American standup comic living in Paris, has an expired visa...;;;;;
126;8.2;El gran secreto;1942.0;Jaques Remy;4620.0;Drama;Thriller;Mecha Ortiz;Agust\xedn Barrios;Homero C\xe1rpena;Isabel Figlioli;;Alicia who feels frustrated at not being able to have a baby doesn't doubt to murder her own sister when she is asked for the son she gave her.;;;;;
133;7.1;NYPD 2069;2004.0;Gregory Hoblit;;Crime;Drama;Michael Reilly Burke;Kevin Dunn;Giancarlo Esposito;Fahim Fazli;;"NYPD detective Alex Franco is brain-dead after an ""accident"" arranged by wife-murderer Harlan Kroger...";Sci-Fi;;;;
135;7.1;Naivko;1975.0;Jovan Zivanovic;6360.0;Comedy;;Ljubisa Samardzic;Radmila Zivkovic;Bata;Dragomir Cumic;;Buzga the shepherd, an object of ridicule among his fellow villagers, discovers his painting talent and becomes famous...;;;;;
138;5.8;Pizza;2005.0;Mark Christopher;4800.0;Comedy;;Ethan Embry;Kylie Sparks;Julie Hagerty;Martin Campetta;On her 18th birthday, she was delivered The Best Night Of Her Life (dvd);A pizza deliveryman develops a bond with a girl nearly half his age.;;;;;
140;;Brown;1973.0;;;Adult;;;;;;;They eat shit.;;;;;
141;6.6;The Vault of Horror;1973.0;Roy Ward Baker;5220.0;Fantasy;Horror;Terry-Thomas;Tom Baker;Dawn Addams;Daniel Massey;Below the Crypt lies Death's waiting-room - The . . . Vault of Horror;An anthology of five horror stories shared by five men trapped in the basement of an office building.;;;;;
145;6.6;Palookaville;1995.0;Alan Taylor;5520.0;Comedy;Crime;William Forsythe;Vincent Gallo;Adam Trese;Gareth Williams;One foot in the door. The other one in the gutter.;Jerry and his two pals, Russ and Syd, are just looking for some easy money to help them break out of their nowhere lives in their nowhere town...;;;;;
149;5.0;Tai yang zhi zi;1990.0;Wellson Chin;5040.0;Action;Adventure;Conan Lee;Sheila Chan;Cynthia Rothrock;James Au;;Cynthia Rothrock helps to protect a Buddhist boy from villains who wish to stop him from becoming the Prince of the Sun.;Comedy;Fantasy;Shan Hua;;
155;7.6;Al son de la marimba;1941.0;Juan Bustillo Oro;8220.0;Comedy;Drama;Fernando Soler;Emilio Tuero;Marina Tamayo;Joaqu\xedn Pardav\xe9;;A broken high society man tries to keep his family expensive lifestyle by tricking a rich man from out of the town to marry his well intended daughter.;Musical;;;;
158;6.0;Little Faith;1997.0;Krzysztof Zanussi;3000.0;Drama;;Dorota Segda;Maciej Orlos;Marek Kondrat;Stanislawa Celinska;;A rational young man and his devoutly Catholic wife believe their sickly son may have leukemia. As they await further tests over a weekend they both struggle with a crisis of faith in both science and Catholicism.;;;;;
166;6.4;En dotter född;1944.0;G\xf6sta Cederlund;6060.0;Drama;;Barbro Kollberg;Naima Wifstrand;Rune Carlsten;Margot Ryding;;Inger lives at home with his parents. She suspects that she is pregnant. A doctor notes her pregnancy and urge her to seek the child's father. The doctor offers her an abortion, but she refuses.;;;;;
170;4.8;Law of the West;1932.0;Robert N. Bradbury;3480.0;Western;;Bob Steele;Nancy Drexel;Ed Brady;Hank Bell;;For revenge the outlaw Morgan steals the Carruthers young son. Seventeen years later Carruthers arrives in the valley where Morgan...;;;;;
171;;The Dressel Family;1935.0;Fernando de Fuentes;5400.0;Drama;;Consuelo Frank;Jorge V\xe9lez;Rosita Arriaga;Ram\xf3n Armengod;;Friedric Dressel (Soler) gets married to mexican radio singer Magdalena (Frank) against his mother's...;;;;;
177;5.7;Battling for Baby;1992.0;Art Wolff;5400.0;Comedy;Drama;Suzanne Pleshette;Debbie Reynolds;Courteney Cox;John Terlesky;;Two rival grandmothers compete over the love of their first grandchild.;;;;;
186;;Apaches of Athens;1930.0;Dimitris Gaziadis;;Comedy;Drama;Petros Epitropakis;Mery Sagianou-Katseli;Stella Hristoforidou;Yannis Prineas;;This is the adaptation of Nikos Chatziapostolou's operetta by the same name. It takes us back to the old Athens of 1920...;Musical;Romance;;;
187;6.1;Black Palm Trees;1968.0;Lars-Magnus Lindgren;8760.0;Comedy;Drama;Max von Sydow;Bibi Andersson;Toralv Maurstad;Thommy Berggren;;A young Finnish woman is searching for the sailor Colett, who rescued her once from drowning. She arrives to a small port of Rio de Janeiro.;;;;;
191;5.7;Personal Secretary;1938.0;Otis Garrett;4260.0;Comedy;;William Gargan;Joy Hodges;Andy Devine;Ruth Donnelly;A Personal Secretary... Who Got Too Personal - And He LOVED It!;Two rival newspaper columnists battle over whether or not a woman murdered her playboy husband.;;;;;
195;7.2;Behind the Mask;1958.0;Brian Desmond Hurst;5940.0;Drama;;Michael Redgrave;Tony Britton;Carl M\xf6hner;Niall MacGinnis;Behind-the-scenes drama of a Great Hospital;Newly qualified surgeon takes the blame for his drug addict colleague after the death of their patient through neglect.;;;;;
199;5.7;Ellery Queen: Don't Look Behind You;1971.0;Barry Shear;5700.0;Drama;Mystery;Peter Lawford;Harry Morgan;E.G. Marshall;Skye Aubrey;;Detective Ellery Queen has to solve a series of murders where the victims were killed in numerically descending ages, the male victims were strangled with blue cords and the female victims with pink ones.;;;;;
201;6.6;Hirourzi;1977.0;Ivanka Grybcheva;4320.0;;;;;;;;;;;;;
217;6.9;The Judge Steps Out;1947.0;Boris Ingster;5460.0;Comedy;Drama;Alexander Knox;Ann Sothern;George Tobias;Sharyn Moffett;He Handed Down a Decision IN FAVOR OF HIMSELF!;A Boston judge bored with his life leaves his family and heads off for adventure. He gets a job as a...;;;;;
225;6.2;Porky's;1981.0;Bob Clark;5640.0;Comedy;;Dan Monahan;Mark Herrier;Wyatt Knight;Roger Wilson;Get It At Porky's [Australia Video];In 1954, a group of Florida high schoolers seek out to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.;;;;;
229;6.3;The Phoenix and the Magic Carpet;1995.0;Zoran Perisic;5280.0;Adventure;Family;Peter Ustinov;Dee Wallace;Timothy Hegeman;Laura Kamrath;;Stuck in their late Grandfather's country cottage with no TV, Anthea, Robert and Chris are resigned...;Fantasy;;;;
230;4.2;Pallavur Devanarayanan;1999.0;V.M. Vinu;;Drama;;Mammootty;Thilakan;Sangeetha;Raasi;;Deva Narayan is a Chenda (a drum) artist who has got personal problems in his life and ultimately he gets appreciated by everyone.;;;;;
232;5.3;Prima Veras saga om Olav den hellige;1983.0;Herodes Falsk;5880.0;Comedy;History;Jahn Teigen;Herodes Falsk;Tom Mathisen;\xd8ivind Blunck;;The unholy story about the life of Saint Olav the Holy from birth to the day he dies as the Norwegian King at the battle of Stiklestad in 1030.;;;Harald Gunnar Paalgard;;
237;;The Blonde Saint;1926.0;Svend Gade;4200.0;Drama;Romance;Lewis Stone;Doris Kenyon;Ann Rork;Gilbert Roland;;Playboy novelist Sebastian Maure falls for Ghiirlaine Bellamy, a product of a wealthy--and puritanical--society family...;;;;;
245;4.8;Diego Corrientes;1959.0;Antonio Isasi-Isasmendi;5880.0;Adventure;Drama;Jos\xe9 Su\xe1rez;Marisa de Leza;Eul\xe1lia del Pino;Milo Quesada;;At the end of the eighteenth century, the young Diego Corrientes quarrels with the tyrannical count of Albanes...;;;;;
248;5.6;Scream Blacula Scream;1973.0;Bob Kelljan;5760.0;Fantasy;Horror;William Marshall;Don Mitchell;Pam Grier;Michael Conrad;"""Blacula is the most horrifying film of the decade."" - Count Dracula Society.";The vampire Mamuwalde (Blacula) is stirred by African voodoo, and is forced to kill again.;;;;;
251;6.0;Gefundenes Fressen;1977.0;Michael Verhoeven;5700.0;Comedy;Drama;Heinz R\xfchmann;Mario Adorf;Elisabeth Volkmann;Ren\xe9 Deltgen;;The homeless Alfred lives on the streets, sleeps under a bridge. Since years he has a dream for which he puts by: a vacation in the South...;;;;;
259;6.1;La ragazza dal pigiama giallo;1977.0;Flavio Mogherini;5880.0;Mystery;Thriller;Ray Milland;Dalila Di Lazzaro;Michele Placido;Mel Ferrer;;Two seemingly separate stories in New South Wales: a burned, murdered body of a young woman is found on the beach...;;;;;
261;6.5;Niji o tsukamu otoko;1996.0;Y\xf4ji Yamada;7200.0;Drama;;Toshiyuki Nishida;Hidetaka Yoshioka;Y\xfbko Tanaka;Kunie Tanaka;;A timid movie theater owner is secretly in love with one of his patrons but struggles to express his feelings. Meanwhile, he must deal with the financial hardships of his ailing business.;;;;;
263;6.5;Swallows and Amazons;1974.0;Claude Whatham;5520.0;Adventure;Family;Virginia McKenna;Ronald Fraser;Simon West;Suzanna Hamilton;Arthur Ransome's Immortal Story;On holiday with their mother in the Lake District in 1929 four children are allowed to sail over to...;;;;;
271;7.0;Antony and Cleopatra;1974.0;Jon Scoffield;9660.0;Drama;History;Richard Johnson;Janet Suzman;Rosemary McHale;Mavis Taylor Blake;;After the murder of her lover Julius Caesar, Egypt's queen Cleopatra needs a new ally. She seduces his probable successor Mark Antony. This develops into real love and slowly leads to a war with the other possible successor, Octavius.;Romance;;;;
275;6.3;Life's for Living: Aadmi;1939.0;Rajaram Vankudre Shantaram;9840.0;;;;;;;;;;;;;
291;5.3;The Black Cobra;1963.0;Rudolf Zehetgruber;5760.0;Comedy;Crime;Adrian Hoven;Ann Smyrner;Wolfgang Preiss;Paul Dahlke;;After a truck carrying a cargo of narcotics is held up by rival smugglers, the driver sets out to prove his innocence.;Thriller;;;;
