;rating;title;year;director0;runtime;genres0;actor0;actor1;actor2;actor3;tagline;outline;genres1;genres2;genres3;director1;genres4;genres5;genres6
1565;7.7;Wife! Be Like a Rose!;1935.0;Mikio Naruse;4440.0;Drama;Sachiko Chiba;Yuriko Hanabusa;Toshiko It\xf4;Setsuko Horikoshi;;A young woman reaches maturity and yearns to know about her father. Her mother has poisoned her mind about the man who left her for another woman...;;;;;;;
1567;4.2;Lady of the Lake;1998.0;Maurice Devereaux;4920.0;Horror;Erik Rutherford;Tennyson Loeh;Emidio Michetti;Christopher Piggins;Fall under her spell into the depths of terror.;A curse haunts Owl Lake. Legend has it that the lady of the Lake seduces a man and then drowns him to avenge her brutal death.;;;;;;;
1569;5.6;Postman's Knock;1962.0;Robert Lynn;5280.0;Comedy;Spike Milligan;Barbara Shelley;John Wood;Archie Duncan;;Likeable country postman Harold Petts gets transferred from his village to London, where on his arrival he unwittingly foils a mail train robbery...;;;;;;;
1573;7.0;Raya wa Sekina;1953.0;Salah Abouseif;4860.0;Crime;Anwar Wagdi;Negma Ibrahim;Zouzou Hamdy El-Hakim;Farid Shawqi;;Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922...;Drama;History;Thriller;;;;
1578;6.8;Varyemez;1991.0;Orhan Aksoy;5580.0;Comedy;Kemal Sunal;Yasemin Yal\xe7in;Gamze G\xf6zalan;Leman \xc7idamli;;Tragicomic dramatization of a self-centered gumptious family man who attends his own funeral after his family is convinced that he was killed by gangsters. He awakens to his truth that the real gangsters are actually in his family.;Crime;Drama;;;;;
1579;6.8;To Be Young, Gifted, and Black;1972.0;Michael Schultz;5400.0;Biography;Blythe Danner;Barbara Barrie;Ruby Dee;Al Freeman Jr.;;"The life and times of Lorraine Hansberry, an African-American writer and political activist, whose semi-autobiographical 1957 play ""A Raisin in the Sun"" became the first show on Broadway authored by an African-American.";Drama;;;;;;
1595;6.4;Il generale dorme in piedi;1972.0;Francesco Massaro;5760.0;Comedy;Ugo Tognazzi;Mariangela Melato;Franco Fabrizi;Mario Scaccia;;"Story of a doctor, vet, Colonel of the Army (Tognazzi) with a problem; When resting lying starts screaming anarchist and antimilitarist phrases...";;;;;;;
1604;8.1;The Maltese Falcon;1941.0;John Huston;6000.0;Film-Noir;Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre;It's thrilling . . . it's chilling . . . it's the most baffling mystery story in years !;A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.;Mystery;;;;;;
1607;;Train de plaisir;1936.0;L\xe9o Joannon;5400.0;Comedy;Fr\xe9d\xe9ric Duvall\xe8s;Jos\xe9 Nogu\xe9ro;Germaine Roger;Raymond Cordy;;Marguerite and Verdurin, both employed in l'Atout Prix, a store run by Prosper Biscoton, would like to take a vacation at the beach...;Romance;;;;;;
1615;5.0;La cameriera seduce i villeggianti;1980.0;Aldo Grimaldi;6000.0;Comedy;Anna Maria Rizzoli;Carlo Giuffr\xe8;Pippo Santonastaso;Ada Pometti;;A sex comedy that takes place in a small hotel and involves two couples, a drug related money scheme and one related thief who accidentally gets caught by the lusty chambermaid who has her way with him.;;;;;;;
