;Company;Job;Location;Salary;Salary_2;Sal_avg
30;S.C. International;Statistical Analyst -- Health-7444 - 7444;Chicago;80000;0;80000
88;Workbridge Associates;Senior Data Scientist (H20, Python, and R);Chicago;110000;155000;132500
95;Workbridge Associates;Data Scientist (Healthcare Data);Chicago;110000;0;110000
103;Jobspring Partners;Quality Engineer (Big Data);Chicago, IL;70000;105000;87500
114;Analytic Recruiting;Manager / Director of Predictive Modeling;Chicago;100000;130000;115000
128;Hirewell;Data Scientist -Fitness/Wellness Firm;Chicago;120000;0;120000
133;Smith Hanley Associates;Statistical Research Scientist;Chicago;75000;90000;82500
158;Workbridge Associates;Data Scientist;Chicago;125000;0;125000
163;U.S. Department of Labor;Economist/Statistician (Economics);Chicago;43915;69827;56871
334;GinasTechJobs.com;Associate Quantitative Research Analyst;Chicago;180000;0;180000
335;Metropolitan Water Reclamation District of Greater...;Supervising Environmental Soil Scientist;Chicago, IL;104674;151358;128016
361;Metropolitan Water Reclamation District of Greater...;Senior Environmental Soil Scientist;Chicago, IL;93257;137114;115185
405;Workbridge Associates;Director of Data Science;Chicago;180000;0;180000
408;Silva Capital Management;Quantitative Analyst;Chicago;125000;0;125000
424;Jobspring Partners;Senior Data Scientist;Glenview, IL;80000;120000;100000
430;InsightsNow Inc.;Research Analyst;Chicago, IL;50000;0;50000
436;Hirewell;Data Scientist;Chicago, IL;85000;0;85000
475;Jobspring Partners;Software Scientist;Chicago;75000;95000;85000
509;Smith Hanley Associates;Statistical Modeler;Chicago;75000;90000;82500
522;Jobspring Partners;Machine Learning Engineer;Chicago;100000;120000;110000
531;Selby Jennings;Data Scientist – Big Data/Artificial Intelligence;Chicago;135000;165000;150000
538;Workbridge Associates;Senior Data Scientist;Des Plaines, IL;130000;180000;155000
541;Jobspring Partners;Academic Python Developer;Chicago, IL;75000;100000;87500
544;Jobspring Partners;Python Scientist;Chicago, IL;70000;100000;85000
556;The LaSalle Network;Research Analyst;Chicago;90000;0;90000
582;GinasTechJobs.com;Quantitative Research Analyst;Chicago;180000;0;180000
584;Analytic Recruiting;Lead Data Scientist;Chicago;140000;0;140000
621;Huxley Banking & Financial Services;Quantitative Risk Analyst;Chicago;110000;0;110000
762;Smith Hanley Associates;Statistical Analyst;Evanston, IL;60000;75000;67500
768;Food Management Search;Food Scientist MS or PhD - Meat Products;Chicago;75000;95000;85000
11;Workbridge Associates;Senior Machine Learning Engineer;New York;110000;170000;140000
36;Research Foundation of The City University of New...;climate scientist;New York, NY;61000;62000;61500
40;Driversiti;Full-Stack Dev Data Viz - Pythonic Design;Rochelle Park, NJ;100000;0;100000
44;Selby Jennings;C++/Python Algo Developer/Data Scientist;New York;120000;150000;135000
55;New York City Department of Health and Mental Hygi...;Senior Analyst (Biostatistician or Epidemiologist);Long Island City, NY 11101;76340;100322;88331
66;DEPT OF HEALTH/MENTAL HYGIENE;Senior Environmental Surveillance Analyst, Bureau of Childca...;Manhattan, NY;76340;100322;88331
69;Selby Jennings;Research Scientist - High Frequency Trading;New York;175000;250000;212500
86;Averity;Mid-level Data Scientist For Top Travel Company;New York;90000;110000;100000
106;DEPT OF HEALTH/MENTAL HYGIENE;Recruitment Coordinator, World Trade Center Health Registry;Manhattan, NY;70286;88213;79249
136;Averity;Senior Data Scientist for Leading Creative Music Company;New York;120000;150000;135000
138;Harnham;Big Data Engineer;New York;110000;0;110000
181;Averity;Lead Data Scientist (New Jersey);New York;130000;170000;150000
183;DEPT OF HEALTH/MENTAL HYGIENE;Child Care Data Analyst, Bureau of Childcare;New York;57969;70142;64055
185;Selby Jennings;Senior Data Scientist;New York;135000;200000;167500
188;DEPT OF ENVIRONMENT PROTECTION;Environmental Analyst;New York;59708;72246;65977
196;New York City Department of Health and Mental Hygi...;Field Researcher;Long Island City, NY 11101;68239;0;68239
251;Averity;Vice President, Data Scientist - Leading International Advis...;New York;150000;200000;175000
255;HOUSING PRESERVATION & DVLPMNT;Technical Researcher;New York;70286;0;70286
257;DEPT OF HEALTH/MENTAL HYGIENE;Data Analyst, Bureau of Mental Health/Research and Evaluatio...;New York, NY;70286;88213;79249
261;City of New York;City Research Scientist II;New York, NY;70286;85664;77975
262;Selby Jennings;VP of Data Science & Analytics;New York;150000;200000;175000
263;DEPT OF ENVIRONMENT PROTECTION;Policy Analyst;New York;59708;72246;65977
271;Harnham;Data Scientist - Financial Services;New York, NY;150000;0;150000
291;Wade & Wendy;Wade & Wendy_Data Scientist/Engineer;New York;80000;120000;100000
293;StreetID;Quantitative Analyst;New York;120000;0;120000
294;Averity;Lead Data Scientist - Top Data Consultancy;New York;120000;160000;140000
317;Selby Jennings;Quantitative Analyst - Credit Risk;New York;120000;0;120000
321;Execu | Search;Machine Learning Researcher;New York, NY;100000;150000;125000
330;Parker and Lynch;REVENUE ANALYST (STATISTICAL/ ECONOMETRICS MODELING REQUIRED...;New York;75000;100000;87500
333;Averity;Tableau Developer;New York, NY;70000;90000;80000
340;Princeton Consulting;Data Scientist;New York, NY 10018 (Clinton area);110000;275000;192500
341;Beeswax;Senior / Director Data Science;New York;130000;165000;147500
346;POLICE DEPARTMENT;CITY RESEARCH SCIENTIST, LEVEL II;New York;68239;85644;76941
352;Geode Executive Search;Data Scientist - Text Analytics - SQL, R, SAS;New York;200000;0;200000
356;Selby Jennings;Quantitative Research – Machine Learning;New York;150000;250000;200000
378;Driversiti;Full-Stack Developer - Sophisticated Analytics, Pythonic des...;Hoboken, NJ;100000;0;100000
382;Averity;Lead Data Scientist for Top Travel Global Company;New York;120000;150000;135000
422;Selby Jennings;Quantitative Analyst - Multiple Vacancies;New York;120000;0;120000
429;Animalz;Research Analyst;New York;40000;0;40000
436;Intelletec LLC;Principal Data Scientist (Cyber Security);New York, NY 10001 (Chelsea area);140000;180000;160000
463;DEPT OF INFO TECH & TELECOMM;Manager of Statistical Data;Manhattan, NY;53051;105000;79025
466;Talon;Data Scientist;New York;110000;130000;120000
468;Laguna Source;Sr Process Scientist, Downstream Purification MSAT;New York;113000;136000;124500
472;Takasago International Corp (USA);Market Research Analyst/CIMR;Rockleigh, NJ;50000;0;50000
495;NewAgeSys,Inc;Scientist I;Rahway, NJ;40000;0;40000
499;Harnham;Chief Data Scientist - Consulting;New York;220000;0;220000
500;Green Key Resources;Quantitative Analyst;New York;175000;215000;195000
507;DEPT OF YOUTH & COMM DEV SRVS;Capacity Building Analyst;Manhattan, NY;68239;85644;76941
511;Harnham;Director, Data Scientist Modeler;New York, NY;180000;0;180000
527;Execu | Search;Quantitative Analyst - Portfolio Research;New York;100000;250000;175000
541;Big Cloud;Data Scientist;New York, NY;150000;0;150000
546;Averity;Data Scientist, Quant Developer for $10B Asset Manager;New York;120000;150000;135000
588;Averity;Senior Data Scientist;New York;125000;175000;150000
593;DEPARTMENT OF TRANSPORTATION;Bike Share Data Scientist;Manhattan, NY;60189;83440;71814
601;CONSUMER AFFAIRS;Modeler/Data Scientist, Policy and Strategy;Manhattan, NY;59708;72246;65977
